Cepheid & RA & Dec & Geo & logP & F555W & sigma & F814W & sigma & F160W & sigma & m_H^W & sigma \\
OGLE-1172 & 12.131082 & -73.266786 & -0.033 & 1.148 & 15.069 & 0.016 & 13.981 & 0.008 & 12.980 & 0.027 & 12.557 & 0.028  \\
OGLE-1247 & 12.256786 & -73.212445 & -0.022 & 1.124 & 15.490 & 0.021 & 14.375 & 0.013 & 13.327 & 0.027 & 12.903 & 0.029  \\
OGLE-1249 & 12.262288 & -73.264188 & -0.028 & 0.848 & 16.090 & 0.014 & 15.141 & 0.011 & 14.206 & 0.028 & 13.841 & 0.029  \\
OGLE-1261 & 12.272586 & -73.069863 & -0.006 & 1.002 & 15.760 & 0.015 & 14.557 & 0.009 & 13.573 & 0.028 & 13.132 & 0.028  \\
OGLE-1291 & 12.314578 & -73.385597 & -0.039 & 0.817 & 15.562 & 0.011 & 14.771 & 0.010 & 14.047 & 0.028 & 13.732 & 0.028  \\
OGLE-1365 & 12.420649 & -73.235297 & -0.018 & 1.195 & 14.748 & 0.012 & 13.771 & 0.007 & 12.801 & 0.027 & 12.435 & 0.028  \\
OGLE-1384 & 12.434451 & -73.057683 & 0.002 & 0.997 & 15.656 & 0.010 & 14.655 & 0.010 & 13.613 & 0.028 & 13.257 & 0.028  \\
OGLE-1385 & 12.435873 & -73.139799 & -0.007 & 1.199 & 14.889 & 0.021 & 13.794 & 0.010 & 12.911 & 0.027 & 12.510 & 0.029  \\
OGLE-1399 & 12.462996 & -73.034001 & 0.006 & 0.956 & 15.444 & 0.015 & 14.501 & 0.010 & 13.573 & 0.028 & 13.244 & 0.028  \\
OGLE-1403 & 12.470301 & -73.244730 & -0.018 & 1.459 & 14.562 & 0.014 & 13.320 & 0.007 & 12.191 & 0.027 & 11.723 & 0.028  \\
OGLE-1408 & 12.477088 & -73.223104 & -0.015 & 1.212 & 15.337 & 0.040 & 14.140 & 0.008 & 13.009 & 0.027 & 12.561 & 0.031  \\
OGLE-1434 & 12.515798 & -73.423233 & -0.036 & 0.837 & 15.776 & 0.014 & 14.905 & 0.010 & 14.122 & 0.028 & 13.779 & 0.029  \\
OGLE-1438 & 12.519681 & -72.718206 & 0.044 & 0.980 & 15.136 & 0.013 & 14.301 & 0.008 & 13.521 & 0.027 & 13.271 & 0.028  \\
OGLE-1455 & 12.539969 & -73.346720 & -0.026 & 0.812 & 16.319 & 0.013 & 15.365 & 0.013 & 14.519 & 0.028 & 14.153 & 0.029  \\
OGLE-1477 & 12.585198 & -73.124906 & 0.000 & 1.506 & 14.241 & 0.021 & 13.162 & 0.011 & 11.945 & 0.027 & 11.558 & 0.028  \\
OGLE-1524 & 12.660753 & -72.959245 & 0.022 & 1.438 & 14.308 & 0.013 & 13.163 & 0.010 & 12.184 & 0.027 & 11.793 & 0.028  \\
OGLE-1541 & 12.695809 & -73.486340 & -0.036 & 0.816 & 15.663 & 0.015 & 14.814 & 0.011 & 14.043 & 0.028 & 13.709 & 0.029  \\
OGLE-1549 & 12.705924 & -73.278265 & -0.013 & 0.834 & 15.592 & 0.017 & 14.735 & 0.010 & 13.950 & 0.028 & 13.635 & 0.029  \\
OGLE-1567 & 12.731252 & -72.578314 & 0.068 & 0.829 & 15.814 & 0.013 & 14.868 & 0.011 & 14.030 & 0.028 & 13.762 & 0.029  \\
OGLE-1569 & 12.731849 & -73.203170 & -0.003 & 1.194 & 14.751 & 0.019 & 13.789 & 0.011 & 12.813 & 0.027 & 12.467 & 0.028  \\
OGLE-1577 & 12.741035 & -73.494097 & -0.035 & 0.784 & 16.215 & 0.014 & 15.285 & 0.011 & 14.402 & 0.029 & 14.036 & 0.030  \\
OGLE-1635 & 12.798598 & -73.191664 & 0.001 & 1.345 & 14.517 & 0.015 & 13.455 & 0.008 & 12.532 & 0.027 & 12.151 & 0.028  \\
OGLE-1655 & 12.833302 & -72.570765 & 0.073 & 1.018 & 15.094 & 0.011 & 14.200 & 0.008 & 13.346 & 0.027 & 13.103 & 0.028  \\
OGLE-1681 & 12.852803 & -72.945277 & 0.031 & 0.859 & 15.616 & 0.016 & 14.749 & 0.010 & 13.923 & 0.028 & 13.649 & 0.029  \\
OGLE-1693 & 12.864037 & -72.859738 & 0.041 & 0.898 & 15.759 & 0.013 & 14.793 & 0.011 & 13.816 & 0.028 & 13.514 & 0.029  \\
OGLE-1712 & 12.900918 & -73.104198 & 0.014 & 1.007 & 15.667 & 0.010 & 14.612 & 0.009 & 13.653 & 0.027 & 13.290 & 0.028  \\
OGLE-1717 & 12.909438 & -73.078738 & 0.018 & 0.824 & 16.016 & 0.011 & 15.072 & 0.010 & 14.221 & 0.028 & 13.903 & 0.029  \\
OGLE-1723 & 12.913896 & -73.025161 & 0.024 & 1.216 & 15.112 & 0.012 & 14.032 & 0.008 & 12.983 & 0.027 & 12.619 & 0.028  \\
OGLE-1746 & 12.951619 & -73.009646 & 0.027 & 0.840 & 15.718 & 0.019 & 14.842 & 0.012 & 14.054 & 0.028 & 13.772 & 0.029  \\
OGLE-1747 & 12.953091 & -73.155849 & 0.011 & 1.286 & 14.017 & 0.025 & 13.165 & 0.013 & 12.378 & 0.027 & 12.089 & 0.029  \\
OGLE-1750 & 12.954842 & -73.365431 & -0.013 & 1.311 & 14.704 & 0.015 & 13.637 & 0.008 & 12.668 & 0.027 & 12.272 & 0.028  \\
OGLE-1753 & 12.960330 & -73.041776 & 0.024 & 0.988 & 15.534 & 0.013 & 14.529 & 0.010 & 13.671 & 0.028 & 13.336 & 0.028  \\
OGLE-1797 & 13.001484 & -73.089530 & 0.020 & 1.615 & 13.955 & 0.026 & 12.723 & 0.017 & 11.586 & 0.027 & 11.159 & 0.030  \\
OGLE-1806 & 13.011195 & -73.227615 & 0.005 & 1.099 & 15.375 & 0.019 & 14.300 & 0.010 & 13.278 & 0.027 & 12.897 & 0.029  \\
OGLE-1855 & 13.069292 & -72.599368 & 0.079 & 0.908 & 15.756 & 0.012 & 14.792 & 0.010 & 13.871 & 0.028 & 13.607 & 0.029  \\
OGLE-1905 & 13.130820 & -73.259715 & 0.006 & 0.811 & 16.175 & 0.019 & 15.210 & 0.014 & 14.299 & 0.028 & 13.961 & 0.030  \\
OGLE-1911 & 13.141342 & -72.894065 & 0.048 & 0.808 & 15.735 & 0.011 & 14.864 & 0.010 & 14.049 & 0.028 & 13.789 & 0.028  \\
OGLE-1913 & 13.143876 & -72.970164 & 0.039 & 1.191 & 14.846 & 0.009 & 13.791 & 0.007 & 12.876 & 0.027 & 12.537 & 0.028  \\
OGLE-1966 & 13.223390 & -73.314283 & 0.003 & 0.885 & 16.358 & 0.012 & 15.243 & 0.012 & 14.154 & 0.028 & 13.756 & 0.029  \\
OGLE-2008 & 13.293828 & -72.858844 & 0.058 & 0.946 & 15.494 & 0.011 & 14.538 & 0.009 & 13.661 & 0.028 & 13.378 & 0.028  \\
OGLE-2031 & 13.326149 & -73.115224 & 0.030 & 1.164 & 14.628 & 0.029 & 13.765 & 0.015 & 12.959 & 0.027 & 12.685 & 0.030  \\
OGLE-2077 & 13.391282 & -73.124631 & 0.031 & 0.971 & 15.407 & 0.010 & 14.525 & 0.009 & 13.607 & 0.027 & 13.326 & 0.028  \\
OGLE-2090 & 13.413912 & -72.909957 & 0.057 & 0.921 & 15.463 & 0.013 & 14.593 & 0.010 & 13.655 & 0.028 & 13.404 & 0.028  \\
OGLE-2097 & 13.425889 & -72.932994 & 0.055 & 0.877 & 15.279 & 0.009 & 14.503 & 0.008 & 13.775 & 0.028 & 13.560 & 0.028  \\
OGLE-2141 & 13.486370 & -72.737304 & 0.080 & 0.858 & 15.787 & 0.011 & 14.903 & 0.011 & 14.022 & 0.028 & 13.790 & 0.028  \\
OGLE-2202 & 13.569864 & -72.616266 & 0.098 & 0.957 & 15.138 & 0.011 & 14.285 & 0.008 & 13.436 & 0.027 & 13.233 & 0.028  \\
OGLE-2269 & 13.673443 & -73.128904 & 0.041 & 1.505 & 13.979 & 0.019 & 12.871 & 0.014 & 11.819 & 0.027 & 11.462 & 0.029  \\
OGLE-2313 & 13.742372 & -73.065516 & 0.051 & 1.057 & 14.983 & 0.009 & 14.108 & 0.007 & 13.211 & 0.027 & 12.954 & 0.028  \\
OGLE-2329 & 13.761688 & -72.768086 & 0.087 & 1.515 & 14.128 & 0.019 & 12.959 & 0.013 & 11.893 & 0.027 & 11.558 & 0.028  \\
OGLE-2389 & 13.853621 & -73.544129 & -0.000 & 0.851 & 15.866 & 0.014 & 14.952 & 0.013 & 14.031 & 0.028 & 13.707 & 0.029  \\
OGLE-2421 & 13.908876 & -72.721049 & 0.099 & 0.990 & 15.416 & 0.009 & 14.401 & 0.008 & 13.479 & 0.027 & 13.216 & 0.028  \\
OGLE-2426 & 13.916137 & -72.883590 & 0.080 & 0.785 & 15.983 & 0.011 & 14.543 & 0.009 & 14.187 & 0.028 & 13.740 & 0.028  \\
OGLE-2437 & 13.940398 & -72.837389 & 0.086 & 0.838 & 15.708 & 0.014 & 14.808 & 0.011 & 13.939 & 0.028 & 13.706 & 0.029  \\
OGLE-2488 & 14.019279 & -73.446051 & 0.017 & 0.805 & 15.843 & 0.021 & 15.057 & 0.016 & 14.136 & 0.028 & 13.879 & 0.030  \\
OGLE-2533 & 14.087107 & -73.387209 & 0.027 & 1.085 & 14.786 & 0.015 & 13.975 & 0.009 & 13.134 & 0.027 & 12.877 & 0.028  \\
OGLE-2607 & 14.220034 & -72.870046 & 0.093 & 1.032 & 15.303 & 0.011 & 14.320 & 0.008 & 13.414 & 0.027 & 13.157 & 0.028  \\
