Cepheid & Frame & Filter & MJD & Exposure & Array & X_cepheid & Y_cepheid \\
OGLE-0518 & iev9tuh3q  & F160W & 60218.482 & 2.50 & IRSUB256 & 138.4 & 129.2  \\
OGLE-0518 & iev9tuhcq  & F555W & 60218.490 & 2.50 & UVIS1 & 843.2 & 680.8  \\
OGLE-0518 & iev9tuhdq  & F814W & 60218.492 & 2.50 & UVIS1 & 817.8 & 706.1  \\
OGLE-0524 & iev9tuh4q  & F160W & 60218.483 & 2.50 & IRSUB256 & 126.2 & 142.0  \\
OGLE-0524 & iev9tuhbq  & F555W & 60218.489 & 2.50 & UVIS2-C1K1C-SUB & 195.5 & 796.1  \\
OGLE-0524 & iev9tuhaq  & F814W & 60218.488 & 2.50 & UVIS2-C1K1C-SUB & 231.3 & 761.5  \\
OGLE-0541 & iev9tuh1q  & F160W & 60218.478 & 2.22 & IRSUB256 & 130.7 & 141.8  \\
OGLE-0541 & iev9tuhgq  & F555W & 60218.496 & 2.50 & UVIS1 & 720.8 & 808.3  \\
OGLE-0541 & iev9tuhhq  & F814W & 60218.497 & 2.50 & UVIS1 & 683.9 & 845.0  \\
OGLE-0570 & iev9tuh2q  & F160W & 60218.480 & 2.50 & IRSUB256 & 157.3 & 110.0  \\
OGLE-0570 & iev9tuhfq  & F555W & 60218.494 & 2.50 & UVIS1 & 774.0 & 752.6  \\
OGLE-0570 & iev9tuheq  & F814W & 60218.493 & 2.50 & UVIS1 & 798.2 & 726.3  \\
OGLE-0576 & iev9tuh5q $^{(*)}$ & F160W & 60218.484 & 2.50 & IRSUB256 & 105.8 & 164.4  \\
OGLE-0576 & iev9tuh6q  & F555W & 60218.485 & 2.50 & UVIS2-C1K1C-SUB & 344.9 & 654.0  \\
OGLE-0576 & iev9tuh7q  & F814W & 60218.487 & 2.50 & UVIS2-C1K1C-SUB & 276.6 & 719.9  \\
OGLE-0668 & iev903l9q  & F160W & 60171.886 & 2.22 & IRSUB256 & 144.8 & 129.9  \\
OGLE-0668 & iev9u2uzq  & F555W & 60221.646 & 2.50 & UVIS2-C1K1C-SUB & 584.0 & 577.6  \\
OGLE-0668 & iev9u2uyq  & F814W & 60221.645 & 2.50 & UVIS2-C1K1C-SUB & 508.1 & 507.1  \\
OGLE-0672 & iev9u1zxq  & F160W & 60202.707 & 2.50 & IRSUB256 & 121.4 & 153.6  \\
OGLE-0672 & iev9u1zyq  & F555W & 60202.708 & 2.50 & UVIS2-C1K1C-SUB & 431.4 & 586.3  \\
OGLE-0672 & iev9u1zzq  & F814W & 60202.710 & 2.50 & UVIS2-C1K1C-SUB & 391.1 & 624.8  \\
OGLE-0694 & iev9u1zwq  & F160W & 60202.706 & 2.50 & IRSUB256 & 124.9 & 149.6  \\
OGLE-0694 & iev9u1a2q  & F555W & 60202.712 & 2.50 & UVIS2-C1K1C-SUB & 327.3 & 687.5  \\
OGLE-0694 & iev9u1a1q  & F814W & 60202.711 & 2.50 & UVIS2-C1K1C-SUB & 367.9 & 646.7  \\
OGLE-0705 & iev9u1zvq  & F160W & 60202.705 & 2.22 & IRSUB256 & 133.0 & 140.2  \\
OGLE-0705 & iev9u1a3q  & F555W & 60202.713 & 2.50 & UVIS1 & 904.1 & 631.8  \\
OGLE-0705 & iev9u1a4q  & F814W & 60202.715 & 2.50 & UVIS1 & 875.7 & 661.8  \\
OGLE-0776 & iev904jtq  & F160W & 60167.419 & 2.22 & IRSUB256 & 146.4 & 127.7  \\
OGLE-0776 & iev904kcq  & F555W & 60167.445 & 2.50 & UVIS2-2K2C-SUB & 626.8 & 1484.8  \\
OGLE-0776 & iev904kdq  & F814W & 60167.447 & 2.50 & UVIS2-2K2C-SUB & 823.2 & 1278.7  \\
OGLE-0793 & iev914mpq  & F160W & 60167.981 & 2.50 & IRSUB256 & 35.6 & 247.2  \\
OGLE-0793 & iev9u1a6q  & F555W & 60202.717 & 2.50 & UVIS1 & 851.5 & 690.4  \\
OGLE-0793 & iev9u1a5q  & F814W & 60202.716 & 2.50 & UVIS1 & 876.0 & 663.2  \\
OGLE-0801 & iev904juq  & F160W & 60167.420 & 2.50 & IRSUB256 & 124.1 & 153.4  \\
OGLE-0801 & iev904kbq  & F555W & 60167.442 & 2.50 & UVIS2-2K2C-SUB & 505.2 & 1610.7  \\
OGLE-0801 & iev904kaq  & F814W & 60167.440 & 2.50 & UVIS2-2K2C-SUB & 259.0 & 1869.9  \\
OGLE-0836 & iev904jvq  & F160W & 60167.421 & 2.50 & IRSUB256 & 110.3 & 169.6  \\
OGLE-0836 & iev9tyd8q  & F555W & 60217.790 & 2.50 & UVIS1 & 1024.1 & 506.8  \\
OGLE-0836 & iev9tyd9q  & F814W & 60217.791 & 2.50 & UVIS1 & 1039.1 & 489.7  \\
OGLE-0889 & iev903laq  & F160W & 60171.888 & 2.50 & IRSUB256 & 161.1 & 113.8  \\
OGLE-0889 & iev9a2v0q  & F555W & 60221.656 & 2.50 & UVIS2-C1K1C-SUB & 510.4 & 508.3  \\
OGLE-0889 & iev903lqq  & F814W & 60171.908 & 2.50 & UVIS2-2K2C-SUB & 1947.3 & 53.4  \\
OGLE-0895 & iev9tvf9q  & F160W & 60219.336 & 2.22 & IRSUB256 & 130.2 & 145.3  \\
